item,sku,product_name,sheet_weight_raw,sheet_weight_lb,bc_weight_lb,implied_lb_from_div16,ratio,issue_type,detail,product_id,variant_id,shopify_weight_lb,bc_minus_shopify_lb
FLA615,FLA615-RD,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5124,3.0,-3.00
FLA615,FLA615-RD-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5836,3.0,-3.00
FLA615,FLA615-TP,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5125,3.0,-3.00
FLA615,FLA615-TP-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5837,3.0,-3.00
FLA615,FLA615-WH,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5123,3.0,-3.00
FLA615,FLA615-WH-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5835,3.0,-3.00
FLA615,FLA615-YE,Rose Nosegay Silk Flower Arrangement,3,3.0,0.0,,,zero_weight,sheet expects 3lb,5241,5126,3.0,-3.00
FLA615,FLA615-YE-1,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,5838,3.0,-3.00
FLA615,FLA615-x,Test Product -,3,3.0,0.0,,,zero_weight,sheet expects 3lb,6086,,,
FLA671-MP,FLA671-MP,"Rose, Hydrangea & Sunflower Silk Flower Accent",2,2.0,0.0,,,zero_weight,sheet expects 2lb,5250,5127,2.0,-2.00
FLA696,FLA696,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,,,
FLA696,FLA696-CO,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5132,1.0,-1.00
FLA696,FLA696-MVL,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5133,1.0,-1.00
FLA696,FLA696-PK,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5134,1.0,-1.00
FLA696,FLA696-RD,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5135,1.0,-1.00
FLA696,FLA696-TP,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5129,1.0,-1.00
FLA696,FLA696-WH,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5130,1.0,-1.00
FLA696,FLA696-YE,Open Rose & Bud Silk Flower Accent,1,1.0,0.0,,,zero_weight,sheet expects 1lb,5254,5131,1.0,-1.00
FLA705-MS,FLA705-MS,Lotus Blossom & Lily Pad Silk Flower Arrangement,4,4.0,0.0,,,zero_weight,sheet expects 4lb,5262,5136,4.0,-4.00
FLA709-MS,FLA709-MS,Peaches & Cream Silk Flower Arrangement,2,2.0,0.0,,,zero_weight,sheet expects 2lb,5266,5137,2.0,-2.00
